organizationSlug,branchCode,name,unit,category,theoreticalUnitCost,reorderLevel,reorderQty,isActive,sku,preferredSupplierKey,metadata
nimbus,EVENTS_KITCHEN,Sparkling Water,ltr,Beverage,3780.00,30.00,35.00,true,EV-INV-025,Cafe Bean Collective,"{""demoCategory"": ""Beverage""}"
nimbus,EVENTS_KITCHEN,Chocolate,kg,Dry Goods,17280.00,10.00,40.00,true,EV-INV-026,Skyline Beverage Supply,"{""demoCategory"": ""Dry Goods""}"
nimbus,EVENTS_KITCHEN,Dates,kg,Dry Goods,15120.00,15.00,45.00,true,EV-INV-027,CleanOps Services,"{""demoCategory"": ""Dry Goods""}"
nimbus,EVENTS_KITCHEN,Sugar,kg,Dry Goods,4860.00,20.00,50.00,true,EV-INV-028,Kampala Utilities Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,EVENTS_KITCHEN,Flour,kg,Dry Goods,5184.00,25.00,20.00,true,EV-INV-029,Event Rentals Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,EVENTS_KITCHEN,Cooking Oil,ltr,Dry Goods,9720.00,30.00,25.00,true,EV-INV-030,Cloud Apps Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,EVENTS_KITCHEN,Salt,kg,Dry Goods,1944.00,10.00,30.00,true,EV-INV-031,Fresh Fields Produce,"{""demoCategory"": ""Dry Goods""}"
nimbus,EVENTS_KITCHEN,Black Pepper,kg,Dry Goods,22680.00,15.00,35.00,true,EV-INV-032,Lake Harvest Foods,"{""demoCategory"": ""Dry Goods""}"
nimbus,EVENTS_KITCHEN,Garlic,kg,Produce,8100.00,20.00,40.00,true,EV-INV-033,Prime Poultry Demo,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Onion,kg,Produce,4320.00,25.00,45.00,true,EV-INV-034,Kampala Dry Goods,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Cucumber,kg,Produce,5400.00,30.00,50.00,true,EV-INV-035,Cafe Bean Collective,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Basil,kg,Produce,15660.00,10.00,20.00,true,EV-INV-036,Skyline Beverage Supply,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Cranberry Juice,ltr,Beverage,8856.00,15.00,25.00,true,EV-INV-037,CleanOps Services,"{""demoCategory"": ""Beverage""}"
nimbus,EVENTS_KITCHEN,Vanilla Syrup,ltr,Cafe,14040.00,20.00,30.00,true,EV-INV-038,Kampala Utilities Demo,"{""demoCategory"": ""Cafe""}"
nimbus,EVENTS_KITCHEN,Oats,kg,Dry Goods,8208.00,25.00,35.00,true,EV-INV-039,Event Rentals Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,EVENTS_KITCHEN,Bananas,kg,Produce,4536.00,30.00,40.00,true,EV-INV-040,Cloud Apps Demo,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Mini Dessert Base,unit,Bakery,1296.00,10.00,45.00,true,EV-INV-041,Fresh Fields Produce,"{""demoCategory"": ""Bakery""}"
nimbus,EVENTS_KITCHEN,Packaging Box,unit,Packaging,972.00,15.00,50.00,true,EV-INV-042,Lake Harvest Foods,"{""demoCategory"": ""Packaging""}"
nimbus,EVENTS_KITCHEN,Napkins,unit,Packaging,86.40,20.00,20.00,true,EV-INV-043,Prime Poultry Demo,"{""demoCategory"": ""Packaging""}"
nimbus,EVENTS_KITCHEN,Cleaning Solution,ltr,Cleaning,6480.00,25.00,25.00,true,EV-INV-044,Kampala Dry Goods,"{""demoCategory"": ""Cleaning""}"
nimbus,EVENTS_KITCHEN,Receipt Paper Roll,unit,Packaging,2700.00,30.00,30.00,true,EV-INV-045,Cafe Bean Collective,"{""demoCategory"": ""Packaging""}"
